"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\xampp\htdocs\licor-house\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\licor-house\app\Exceptions\Handler.php", "PHP", 17, 0, 0, 0, 0, 0, 9, 5, 31
"c:\xampp\htdocs\licor-house\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\licor-house\app\Http\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 21, 7, 69
"c:\xampp\htdocs\licor-house\app\Http\Middleware\Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 5, 6, 31
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\licor-house\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\licor-house\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Models\User.php", "PHP", 23, 0, 0, 0, 0, 0, 16, 7, 46
"c:\xampp\htdocs\licor-house\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\xampp\htdocs\licor-house\app\Providers\AuthServiceProvider.php", "PHP", 11, 0, 0, 0, 0, 0, 11, 5, 27
"c:\xampp\htdocs\licor-house\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\licor-house\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 12, 6, 39
"c:\xampp\htdocs\licor-house\app\Providers\RouteServiceProvider.php", "PHP", 24, 0, 0, 0, 0, 0, 10, 7, 41
"c:\xampp\htdocs\licor-house\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\licor-house\composer.json", "JSON", 0, 0, 0, 0, 0, 66, 0, 1, 67
"c:\xampp\htdocs\licor-house\composer.lock", "JSON", 0, 0, 0, 0, 0, 8079, 0, 1, 8080
"c:\xampp\htdocs\licor-house\config\app.php", "PHP", 27, 0, 0, 0, 0, 0, 131, 31, 189
"c:\xampp\htdocs\licor-house\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\licor-house\config\broadcasting.php", "PHP", 36, 0, 0, 0, 0, 0, 23, 13, 72
"c:\xampp\htdocs\licor-house\config\cache.php", "PHP", 59, 0, 0, 0, 0, 0, 34, 19, 112
"c:\xampp\htdocs\licor-house\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\licor-house\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\licor-house\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\licor-house\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\licor-house\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 34, 19, 132
"c:\xampp\htdocs\licor-house\config\mail.php", "PHP", 54, 0, 0, 0, 0, 0, 53, 19, 126
"c:\xampp\htdocs\licor-house\config\queue.php", "PHP", 51, 0, 0, 0, 0, 0, 42, 17, 110
"c:\xampp\htdocs\licor-house\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\licor-house\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\licor-house\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\licor-house\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\licor-house\database\factories\UserFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 11, 5, 39
"c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 6, 4, 33
