"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\xampp\htdocs\licor-house\app\Actions\Fortify\CreateNewUser.php", "PHP", 0, 0, 25, 0, 0, 0, 5, 6, 36
"c:\xampp\htdocs\licor-house\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 0, 0, 10, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\licor-house\app\Actions\Fortify\ResetUserPassword.php", "PHP", 0, 0, 19, 0, 0, 0, 5, 6, 30
"c:\xampp\htdocs\licor-house\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 0, 0, 22, 0, 0, 0, 5, 6, 33
"c:\xampp\htdocs\licor-house\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 0, 0, 39, 0, 0, 0, 10, 8, 57
"c:\xampp\htdocs\licor-house\app\Actions\Jetstream\DeleteUser.php", "PHP", 0, 0, 13, 0, 0, 0, 3, 4, 20
"c:\xampp\htdocs\licor-house\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\licor-house\app\Exceptions\Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 9, 5, 31
"c:\xampp\htdocs\licor-house\app\Http\Controllers\CategoriaController.php", "PHP", 0, 0, 50, 0, 0, 0, 1, 15, 66
"c:\xampp\htdocs\licor-house\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\licor-house\app\Http\Controllers\DetalleController.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 15, 76
"c:\xampp\htdocs\licor-house\app\Http\Controllers\InventarioController.php", "PHP", 0, 0, 62, 0, 0, 0, 2, 11, 75
"c:\xampp\htdocs\licor-house\app\Http\Controllers\NotaVentaController.php", "PHP", 0, 0, 92, 0, 0, 0, 2, 17, 111
"c:\xampp\htdocs\licor-house\app\Http\Controllers\ProductoController.php", "PHP", 0, 0, 71, 0, 0, 0, 1, 14, 86
"c:\xampp\htdocs\licor-house\app\Http\Controllers\UsuarioController.php", "PHP", 0, 0, 49, 0, 0, 0, 1, 10, 60
"c:\xampp\htdocs\licor-house\app\Http\Kernel.php", "PHP", 0, 0, 41, 0, 0, 0, 21, 7, 69
"c:\xampp\htdocs\licor-house\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 20, 0, 0, 0, 5, 6, 31
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 11, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 12, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\licor-house\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\licor-house\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\licor-house\app\Models\Categoria.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\licor-house\app\Models\Detalleventa.php", "PHP", 0, 0, 15, 0, 0, 0, 1, 6, 22
"c:\xampp\htdocs\licor-house\app\Models\Inventario.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 8, 32
"c:\xampp\htdocs\licor-house\app\Models\Notaventa.php", "PHP", 0, 0, 19, 0, 0, 0, 1, 7, 27
"c:\xampp\htdocs\licor-house\app\Models\Producto.php", "PHP", 0, 0, 20, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\licor-house\app\Models\User.php", "PHP", 0, 0, 41, 0, 0, 0, 21, 10, 72
"c:\xampp\htdocs\licor-house\app\Models\Usuario.php", "PHP", 0, 0, 16, 0, 0, 0, 1, 5, 22
"c:\xampp\htdocs\licor-house\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 15, 0, 0, 0, 8, 4, 27
"c:\xampp\htdocs\licor-house\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 11, 0, 0, 0, 11, 5, 27
"c:\xampp\htdocs\licor-house\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\licor-house\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 21, 0, 0, 0, 12, 6, 39
"c:\xampp\htdocs\licor-house\app\Providers\FortifyServiceProvider.php", "PHP", 0, 0, 32, 0, 0, 0, 7, 8, 47
"c:\xampp\htdocs\licor-house\app\Providers\JetstreamServiceProvider.php", "PHP", 0, 0, 26, 0, 0, 0, 10, 8, 44
"c:\xampp\htdocs\licor-house\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 10, 8, 42
"c:\xampp\htdocs\licor-house\app\View\Components\AppLayout.php", "PHP", 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\licor-house\app\View\Components\GuestLayout.php", "PHP", 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\licor-house\bootstrap\app.php", "PHP", 0, 0, 17, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\licor-house\composer.json", "JSON", 0, 0, 0, 0, 0, 71, 0, 1, 72
"c:\xampp\htdocs\licor-house\composer.lock", "JSON", 0, 0, 0, 0, 0, 9074, 0, 1, 9075
"c:\xampp\htdocs\licor-house\config\adminlte.php", "PHP", 0, 0, 269, 0, 0, 0, 215, 41, 525
"c:\xampp\htdocs\licor-house\config\app.php", "PHP", 0, 0, 29, 0, 0, 0, 131, 31, 191
"c:\xampp\htdocs\licor-house\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\licor-house\config\broadcasting.php", "PHP", 0, 0, 36, 0, 0, 0, 23, 13, 72
"c:\xampp\htdocs\licor-house\config\cache.php", "PHP", 0, 0, 59, 0, 0, 0, 34, 19, 112
"c:\xampp\htdocs\licor-house\config\cors.php", "PHP", 0, 0, 3, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\licor-house\config\database.php", "PHP", 0, 0, 83, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\licor-house\config\filesystems.php", "PHP", 0, 0, 33, 0, 0, 0, 32, 13, 78
"c:\xampp\htdocs\licor-house\config\fortify.php", "PHP", 0, 0, 29, 0, 0, 0, 106, 26, 161
"c:\xampp\htdocs\licor-house\config\hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\licor-house\config\jetstream.php", "PHP", 0, 0, 13, 0, 0, 0, 54, 15, 82
"c:\xampp\htdocs\licor-house\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 34, 19, 132
"c:\xampp\htdocs\licor-house\config\mail.php", "PHP", 0, 0, 54, 0, 0, 0, 53, 19, 126
"c:\xampp\htdocs\licor-house\config\queue.php", "PHP", 0, 0, 51, 0, 0, 0, 42, 17, 110
"c:\xampp\htdocs\licor-house\config\sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 53, 14, 84
"c:\xampp\htdocs\licor-house\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\licor-house\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\licor-house\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\licor-house\database\factories\UserFactory.php", "PHP", 0, 0, 48, 0, 0, 0, 14, 7, 69
"c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 25, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
